"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
135	"Sri Lanka"	144	53.13	55.45	58.17	61.15	63.5	65.34	66.86	65.7	66.9	65.65	69.64	70.36	71.21	72.19	73.14	74	74.74	75.4	76.06	76.67	77.35	77.95	78.53	79.19	79.76	80.37	80.91	81.52	82.11	82.7	"2008"
136	"St. Vincent and the Grenadines"	670	49.73	53.1	58.51	61.69	63.6	64.23	66.18	67.28	68.36	68.42	68.29	69.83	70.7	71.54	72.3	73.01	73.66	74.29	74.89	75.46	76	76.52	77	77.48	77.95	78.4	78.84	79.27	79.68	80.09	"2008"
137	"State of Palestine"	275	44.68	46.29	48.9	52.27	55.68	59.28	62.77	65.54	67.34	68.9	69.83	70.59	71.44	72.21	72.92	73.71	74.56	75.39	76.31	77.14	77.97	78.68	79.39	80.14	80.79	81.39	82.08	82.73	83.38	84	"2008"
138	"Sudan"	729	43.15	45.69	47.81	49.82	51.63	52.56	53.02	53.7	54.46	55.47	57.04	59.19	61.22	62.78	64.31	65.74	67	68.15	69.22	70.21	71.14	71.95	72.66	73.33	73.97	74.58	75.18	75.75	76.31	76.85	"2008"
139	"Sweden"	752	70.31	71.16	71.48	71.78	72.12	72.34	73.35	74.16	75.33	76.68	77.81	78.97	77.15	78.16	78.94	79.54	80.12	80.69	81.24	81.8	82.33	82.86	83.38	83.89	84.4	84.89	85.4	85.9	86.4	86.89	"2008"
140	"Switzerland"	756	66.98	68.1	68.68	69.64	70.58	71.85	72.69	73.8	74.5	76.12	77.72	79.29	80.36	81.14	81.88	82.51	83.03	83.55	84.07	84.58	85.08	85.59	86.09	86.59	87.08	87.58	88.07	88.57	89.06	89.55	"2008"
141	"Syrian Arab Republic"	760	48.54	51.23	53.81	56.77	60.36	63.52	66.25	68.36	70.16	71.31	72.27	73.13	71.58	75.04	75.99	76.99	77.83	78.62	79.37	80.12	80.81	81.53	82.21	82.92	83.63	84.37	85.05	85.72	86.39	87.06	"2013"
142	"Taiwan, Province of China"	158	56.44	60.37	62.55	64.48	67.06	68.47	69.95	71.09	71.94	72.53	74.23	75.23	76	76.63	77.25	77.82	78.39	78.93	79.45	79.97	80.49	80.97	81.45	81.9	82.36	82.82	83.27	83.71	84.15	84.59	"2008"
143	"Tajikistan"	762	50.75	52.78	54.81	56.85	58.43	59.47	60.17	60.97	58.61	59.29	60.94	63.31	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	"2008"
144	"TFYR Macedonia"	807	54.95	58.7	61.64	64.24	66.04	66.84	67.13	68.9	69.42	70.42	71.24	72.1	73.24	73.89	74.5	75.16	75.84	76.49	77.11	77.7	78.27	78.82	79.35	79.86	80.36	80.86	81.34	81.81	82.27	82.73	"2008"
145	"Timor-Leste"	626	29.57	31.94	34.42	36.9	39.23	30	39.19	45	49	56	60	63	64	64.15	65.93	67.54	68.93	70.16	71.24	72.24	73.11	73.95	74.71	75.41	76.08	76.7	77.32	77.89	78.46	78.99	"2008"
146	"Tonga"	776	58.46	60.16	61.86	63.36	64.86	65.86	66.86	67.77	68.38	68.79	68.82	69.05	69.73	70.38	71	71.7	72.45	73.14	73.8	74.42	75.01	75.56	76.1	76.61	77.1	77.58	78.03	78.48	78.91	79.33	"2008"
147	"Trinidad and Tobago"	780	57.54	59.69	62.57	63.08	63.49	64.44	64.58	65.02	65.39	65.05	65.16	65.8	66.87	68.08	69.24	70.19	70.97	71.72	72.46	73.15	74	74.59	75.19	75.72	76.26	76.75	77.25	77.7	78.16	78.61	"2008"
148	"Tunisia"	788	37.77	39.77	42.75	47.26	53	58.52	62.76	65.35	68.12	70.08	71.44	72.3	73.07	73.81	74.59	75.31	75.98	76.63	77.24	77.82	78.39	78.93	79.46	79.97	80.47	80.96	81.44	81.91	82.37	82.83	"2008"
149	"Turkey"	792	40.36	42.28	45.52	48.55	52.37	54.76	57.17	59.81	62.16	65.38	68.47	69.85	71.43	72.31	73.07	73.78	74.53	75.29	75.97	76.79	77.38	77.96	78.49	79.05	79.57	80.08	80.58	81.06	81.53	82.01	"2008"
150	"Turkmenistan"	795	47.9	49.95	51.98	54.03	55.56	56.6	58.13	59.28	58.8	59.72	60.37	60.61	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	"2008"
151	"Ukraine"	804	58.71	63.99	66.49	66.72	65.89	64.64	64.08	66.02	63.63	61.91	61.85	62.25	63.52	64.96	66.27	67.47	68.55	69.54	70.58	71.63	72.58	73.45	74.25	74.99	75.68	76.34	76.97	77.56	78.14	78.69	"2008"
152	"United Arab Emirates"	784	41	46.85	52.29	57.65	61.79	65.06	67.64	69.65	71.27	72.71	73.99	75.15	76.02	76.83	77.73	78.58	79.4	80.05	80.8	81.51	82.15	82.78	83.45	84.15	84.79	85.42	86.06	86.71	87.4	88.03	"2008"
153	"United Kingdom"	826	66.67	67.67	67.97	68.52	68.97	69.82	71.07	72.11	73.38	74.5	76.01	77.5	78.32	79.12	79.9	80.66	81.41	82.13	82.84	83.53	84.2	84.85	85.49	86.11	86.71	87.29	87.86	88.41	88.95	89.47	"2008"
154	"United States of America"	840	65.76	66.59	66.8	66.75	67.52	69.38	70.67	71.3	72.17	73.42	74.49	75.57	76.17	76.87	77.53	78.17	78.78	79.37	79.95	80.52	81.07	81.61	82.15	82.67	83.2	83.71	84.23	84.73	85.24	85.74	"2008"
155	"United States Virgin Islands"	850	57.71	60.84	62.27	64.11	65.79	67.53	68.89	70.33	71.76	73.42	74.8	75.76	76.52	77.14	77.73	78.3	78.84	79.37	79.89	80.39	80.88	81.36	81.83	82.3	82.75	83.21	83.65	84.09	84.53	84.96	"2008"
156	"Uruguay"	858	63.29	64.2	65.38	65.5	65.62	66.31	67.61	68.58	69.22	70.45	71.59	72.76	73.72	74.59	75.39	76.09	76.73	77.33	77.91	78.46	78.46	78.46	78.46	78.46	78.46	78.46	78.46	78.46	78.46	78.46	"2008"
157	"Uzbekistan"	860	52.41	54.45	56.48	58.52	60.05	61.09	62.62	64.01	63.03	63.61	63.91	64.34	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	"2008"
158	"Vanuatu"	548	40.63	43.56	46.58	49.55	52.42	55.3	58.21	60.63	62.89	64.94	66.72	68.2	69.51	70.69	71.72	72.66	73.52	74.31	75.04	75.71	76.37	76.99	77.59	78.17	78.72	79.25	79.75	80.26	80.75	81.23	"2008"
159	"Venezuela (Bolivarian Republic of)"	862	53.83	56.58	59.25	61.48	63.34	64.81	65.85	67.69	68.68	69.29	69.9	70.86	71.77	72.62	73.4	74.1	74.8	75.4	76	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	76.5	"2008"
160	"Viet Nam"	704	51.67	55.01	57.84	59.02	55.67	63.29	64.67	65.86	66.92	67.95	68.82	69.19	70.6	71.88	73.08	74.11	75.02	75.85	76.61	77.32	78.02	78.79	79.43	80.03	80.67	81.31	81.94	82.65	83.25	83.86	"2008"
161	"Western Sahara"	732	34.01	35.98	37.96	39.9	41.9	46.18	50.47	54.75	57.25	59.75	62.26	64.27	66.06	67.64	69.02	70.24	71.33	72.31	73.2	74.02	74.78	75.48	76.15	76.79	77.39	77.97	78.53	79.07	79.59	80.1	"2008"
162	"Yemen"	887	24.36	29	33.57	37.87	41.9	46.56	51.45	55.17	57.05	58.46	59.67	60.75	62.43	63.7	64.52	65.21	65.81	66.36	66.77	67.16	67.52	67.97	68.45	68.81	69.26	69.7	70.19	70.68	71.33	71.84	"2008"
