"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
157	"Malta"	470	67.52	69.18	70.71	72.14	73.48	74.74	75.94	77.07	78.16	79.21	80.22	81.19	82.29	82.93	83.55	84.14	84.74	85.31	85.86	86.4	86.94	87.46	87.98	88.49	89	89.5	90	90.49	90.98	91.46
158	"Montenegro"	499	59.86	62.62	65.38	69.215	73.05	75.588	76.594	77.364	79.12	78.87	77.03	76.47	77.37	78.24	79.03	79.76	80.44	81.08	81.69	82.26	82.81	83.35	83.86	84.36	84.85	85.33	85.8	86.27	86.72	87.17
159	"Portugal"	620	62.59	64.73	67.07	69.36	71.31	73.63	75.82	77.33	78.28	79.45	80.68	81.79	82.76	83.29	83.81	84.32	84.78	85.25	85.73	86.18	86.63	87.07	87.49	87.91	88.34	88.76	89.17	89.58	89.99	90.39
160	"Serbia"	688	58.8	62.6	65.7	68.6	70.6	72.5	72.65	73.7	74.48	74.61	75.58	76.34	77.05	77.71	78.32	79	79.73	80.41	81.05	81.66	82.23	82.78	83.31	83.82	84.32	84.81	85.28	85.74	86.2	86.64
161	"Slovenia"	705	68.1	70.5	72	72.6	73.5	74.8	75.07	76.44	77.56	78.9	80.41	81.99	82.84	83.46	84.06	84.65	85.22	85.77	86.32	86.85	87.38	87.9	88.42	88.93	89.44	89.94	90.44	90.94	91.44	91.93
162	"Spain"	724	66.35	69.77	72.2	73.89	75.28	77.1	79.04	80.05	81.06	82.08	83.04	83.75	84.76	85.31	85.88	86.42	86.95	87.48	88	88.5	89.01	89.51	90.01	90.51	91	91.49	92	92.48	92.96	93.44
163	"TFYR Macedonia"	807	55	59.4	62.8	66	68.9	71.4	71.54	72.84	74.03	74.77	75.75	76.32	77.14	77.8	78.4	79.08	79.8	80.48	81.11	81.72	82.29	82.84	83.37	83.88	84.37	84.86	85.33	85.79	86.24	86.69
164	"Western Europe"	926	70.12899121	72.14251672	73.53018398	74.31638031	74.95840098	76.51052899	77.70896762	79.03060013	79.98391829	81.01055743	81.98900825	83.04082812	83.63024161	84.21770345	84.79234411	85.36799697	85.93719074	86.49391137	87.02834552	87.55499572	88.08378804	88.60923115	89.13964158	89.65611481	90.16120181	90.67494332	91.18151111	91.6850075	92.18859783	92.68706545
165	"Austria"	40	68.78	70.84	72.6	73.29	74.06	75.36	76.55	78.03	79.2	80.45	81.62	82.88	83.55	84.15	84.73	85.3	85.85	86.39	86.93	87.46	87.98	88.49	89.01	89.51	90.02	90.52	91.01	91.51	92	92.5
166	"Belgium"	56	70.91	72.65	73.1	73.84	74.92	76.06	77.15	78.91	79.74	80.58	81.2	82.5	82.81	83.34	83.9	84.49	85.06	85.62	86.17	86.71	87.24	87.76	88.28	88.79	89.3	89.81	90.31	90.81	91.3	91.8
