"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
193	"Mexico"	484	48.92	53.34	56.42	58.16	60.09	62.21	64.45	66.77	69.04	71.27	72.44	73.75
194	"Nicaragua"	558	40.89	44.11	47.31	50.51	53.7	55.29	56.46	59	63.53	65.89	67.98	69.93
195	"Panama"	591	54.35	58.35	60.91	63.08	64.94	66.96	68.4	69.27	70.22	71.25	72.25	73.03
196	"South America"	931	50.3	52.62	54.71	56.41	58.13	60.19	61.81	63.37	64.83	66.6	68.16	69.52
197	"Argentina"	32	60.42	62.14	62.47	62.75	64.1	65.44	66.82	67.58	68.6	69.65	70.6	71.56
198	"Bolivia"	68	38.49	39.9	41.39	42.95	44.58	48.04	52	55.6	58.32	60.09	61.8	63.43
199	"Brazil"	76	49.23	51.45	53.82	55.71	57.29	59.23	60.35	61.86	63.52	65.53	67.22	68.71
200	"Chile"	152	52.91	53.81	55.27	57.64	60.46	63.94	67.38	69.59	71.45	72.76	74.83	75.52
201	"Colombia"	170	48.98	53.48	56.23	58.33	59.71	61.76	63.62	64.45	64.53	66.53	68.03	69.24
202	"Ecuador"	218	47.13	50.13	53.43	55.36	57.36	59.68	62.47	65.3	67.57	69.66	71.31	72.13
203	"French Guiana"	254	50.32	53	56.35	61.36	62.5	63.07	66	68.2	70	71.5	71.91	72.55
204	"Guyana"	328	50.75	53.25	55.75	57.48	57.96	58.25	58.21	58.87	59.08	59.06	61.08	64.07
205	"Paraguay"	600	60.68	61.27	62.46	63.07	63.78	64.36	64.9	65.4	66.3	67.2	68.7	69.71
206	"Peru"	604	42.86	45.11	47.81	50.06	53.87	56.68	59.46	62.08	64.4	66.8	69.01	70.51
207	"Suriname"	740	54.4	57	58.7	60.5	61.7	62.8	63.58	63.97	64.43	64.95	64.73	65.42
208	"Uruguay"	858	63.29	64.2	65.38	65.5	65.62	66.31	67.61	68.58	69.22	70.46	71.59	72.76
209	"Venezuela (Bolivarian Republic of)"	862	53.84	56.59	59.26	61.49	63.35	64.81	65.85	67.69	68.68	69.29	69.9	70.86
210	"NORTHERN AMERICA"	905	66.1	66.69	66.89	66.99	67.89	69.6	70.92	71.73	72.63	75.24	75.94	77.01
211	"Canada"	124	66.75	67.71	68.48	69	69.63	70.82	72.54	73.65	74.79	75.9	77.33	78.29
212	"United States of America"	840	66.07	66.63	66.78	66.83	67.75	69.5	70.75	71.53	72.39	75.17	75.79	76.87
213	"OCEANIA"	909	58.08	59.87	61.14	61.9	63.11	64.98	66.52	67.53	69.18	70.37	72.63	74.07
214	"Australia/New Zealand"	927	67.02	67.66	67.9	67.73	68.46	69.95	71.57	72.79	74.47	75.96	77.8	78.98
215	"Australia"	36	66.9	67.5	67.8	67.6	68.4	70.1	71.78	73.03	74.7	76.15	77.96	79.14
216	"New Zealand"	554	67.5	68.3	68.3	68.3	68.7	69.3	70.58	71.64	73.34	75	77.01	78.17
217	"Melanesia"	928	36.45	39.05	41.7	44.24	46.66	50.23	53.1	53.7	55.13	55.97	58.8	60.54
218	"Fiji"	242	50.75	52.75	54.75	56.75	58.75	60.75	62.75	64.68	64.61	64.81	65.71	66.57
219	"New Caledonia"	540	50	51	55.5	57.5	58.5	63	65.6	67.3	69.2	69.77	71.9	72.83
220	"Papua New Guinea"	598	33.8	36.3	38.8	41.3	43.8	47.52	50.74	51.33	52.95	53.8	56.95	58.81
221	"Solomon Islands"	90	44.9	47.4	49.9	52.4	54.9	57.4	58.2	55.53	57.94	60.37	62.85	65.14
222	"Vanuatu"	548	40.63	43.57	46.59	49.57	52.44	55.33	58.24	60.67	62.93	64.98	66.76	68.25
223	"Micronesia"	954	51.91	53.97	56	57.9	60	61.69	62.95	64.32	65.69	67.4	68.74	69.93
224	"Guam"	316	55.35	57.85	60.35	62.6	64.6	66.35	67.85	69.2	70.4	71.4	72.38	73.25
225	"Micronesia (Fed. States of)"	583	54.05	56.05	58.05	60.05	62.15	64.25	64.81	65.38	65.94	66.5	66.92	67.72
226	"Polynesia"	957	48.59	51.93	54.1	56.31	58.35	59.95	62.46	64.34	66.3	67.64	68.91	70.21
227	"French Polynesia"	258	48	53.54	55.58	57.54	59.3	60.47	64	65.8	67.92	68.99	70.55	71.97
228	"Samoa"	882	43	45.5	48	50.5	53	55.5	58	60.5	63.1	65.4	67.06	68.54
229	"Tonga"	776	58.46	60.16	61.86	63.36	64.86	65.86	66.86	67.77	68.38	68.79	68.82	69.05
